entry_run,1,2,3,4,5,6,7,8,9,10
1,23.3703734928633,23.739841471037153,23.977959163718868,24.29703815460814,24.47709982934094,24.676848013949357,24.89912735827577,24.949726641138646,25.17010303647817,25.37756566320688
2,22.38127342404812,22.847972365907722,23.11257707323491,23.422143043014216,23.679188915530776,23.860089723475475,24.163981012067786,24.242233665580624,24.46029480727809,24.594276243596106
3,21.30968818839439,21.855203974367786,22.130901001865457,22.375993215845995,22.4873986474432,23.03334060591559,23.343145524654048,23.452331959104814,23.663728042998837,23.796205283327108
4,19.578412320018558,20.175983298456,20.41083774121321,20.703490443845194,20.80688046985704,20.962908590711567,21.43754107200789,21.536750159745193,21.721588205924284,21.83422068418215
5,14.063881883313359,14.843750020563107,15.102236305507583,15.219993254190104,15.338608639518933,15.484830474243392,16.05280784213072,16.082531530827385,16.289760944007472,16.409137303299413
6,12.082817460253663,12.224774051173243,12.333445985519544,12.444873551604683,12.530048231079583,12.670034951233259,12.881941866501275,12.908579977348268,13.089918068807041,13.20572555985014
7,11.436812326078465,11.509704479792426,11.612947675102628,11.649623463845838,11.68498939531055,11.713737817079126,11.752818279271594,11.767510656047685,11.943629809913825,11.992556773146388
8,3.3354254250603095,3.363199452123025,3.364999238787881,3.3641762434146774,3.382266735337717,3.443304287640699,3.44397785714423,3.447936328551086,3.96454676822817,4.034625320674482
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
