entry_run,1,2,3,4,5,6,7,8,9,10
1,3.2662470913625565,17.887985092864948,19.87562669542466,22.146640940097,23.86362794221022,23.76595579961621,21.985491199092504,23.833957926599656,25.177791347730277,25.312007261613058
2,3.749638442625987,17.50414045476791,15.030528086018807,16.462177936558835,21.81342977572045,22.30445362375318,20.973534319505386,23.44996538054583,25.047902830685537,25.18197342739309
3,-0.9576167692033208,13.518114592479952,12.316127902861874,16.035528864444355,21.15077479999235,22.13805668474811,20.925831512321054,24.67487904320653,25.030777215447042,25.164828520214368
4,0.204212177014241,10.995080470906629,12.646684956456204,17.048233581593202,22.16230703619397,23.698861576665507,21.393483919828512,25.103157047288327,26.105240628847593,26.240438440546075
5,1.367078315694777,9.30156505607015,10.667523236649178,9.812677968100585,15.881063055681,20.288159836334245,18.639585628257848,22.139837821814627,25.017556455777846,25.151575287661682
6,1.1371448802308113,8.276057179074229,10.40710323779128,9.785124176871514,12.829516666106363,16.154646981211577,14.394750676142346,18.34693246797029,24.58130503087649,24.71482546117847
7,0.8595290640270346,4.561325013544291,8.249074072574428,7.013316867571367,14.125765916469724,14.158960675442833,10.755039379091516,17.412276045192808,24.644493328475928,24.778077772788233
8,0.2338237917657244,2.205993722807952,4.264622690276519,3.021045989878017,11.4671903648009,11.192157911122953,9.125840701061641,16.2640774180196,24.53134490573304,24.664802837957865
9,-0.3762237226538152,1.7733513413273698,3.251454280836852,2.583749135642627,11.956585826115107,11.756888232718216,9.535595453730886,16.861130695564764,24.30927492338698,24.442492710269573
10,-0.5573955883231293,1.100898746126153,2.7319403707048386,2.2324900048509195,10.290877489708885,10.301912058840724,8.157967943438987,13.042849590655553,24.19831543895127,24.331405848552663
