strategy,metric,selection_rule,best_entry_run_n,best_exit_run_m,metric_value,total_return_pct,annual_return_pct,annualized_volatility_pct,sharpe_ratio,max_drawdown_pct,closed_trades
Mean Reversion,annual_return_pct,max,1,10,25.07888511031625,637.4019369615406,25.07888511031625,33.411546339482065,0.052725099581245646,62.966390489574394,17
Mean Reversion,annualized_volatility_pct,min,9,1,1.3314370537764708,3.77933592299486,0.13277023680295408,1.3314370537764708,0.006693342835172588,4.228994823112563,1
Mean Reversion,max_drawdown_pct,min,9,1,4.228994823112563,3.77933592299486,0.13277023680295408,1.3314370537764708,0.006693342835172588,4.228994823112563,1
Mean Reversion,sharpe_ratio,max,1,10,0.052725099581245646,637.4019369615406,25.07888511031625,33.411546339482065,0.052725099581245646,62.966390489574394,17
Mean Reversion,total_return_pct,max,1,10,637.4019369615406,637.4019369615406,25.07888511031625,33.411546339482065,0.052725099581245646,62.966390489574394,17
Trend Following,annual_return_pct,max,4,10,26.240438440546075,663.7318408284629,26.240438440546075,33.76597580294629,0.05411900824440683,63.103535324594866,1
Trend Following,annualized_volatility_pct,min,10,1,2.3370280758221087,-15.92134047985381,-0.5573955883231293,2.3370280758221087,-0.014313130226976608,16.6054335848516,17
Trend Following,max_drawdown_pct,min,8,2,11.985095540397912,62.15275547156378,2.205993722807952,4.728024830780149,0.030571901959002598,11.985095540397912,30
Trend Following,sharpe_ratio,max,4,6,0.0555499671543068,605.8001001395165,23.698861576665507,28.849243469740628,0.0555499671543068,68.86182206270377,26
Trend Following,total_return_pct,max,4,10,663.7318408284629,663.7318408284629,26.240438440546075,33.76597580294629,0.05411900824440683,63.103535324594866,1
