signal_id,signal_date,signal_type,action,reason,daily_return,positive_run,negative_run,order_status,execution_date,execution_price,execution_size,execution_action,resulting_trade_entry_date,resulting_trade_exit_date,resulting_trade_pnl,resulting_trade_pnl_net,resulting_trade_return_pct,resulting_trade_feedback
1,1997-08-20,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.005154658940003776,0,4,completed,1997-08-21,19.299999237060547,4922.279987326508,BUY,1997-08-21,1997-08-22,2215.02974969853,2022.8147199488315,2.1293997763154917,positive
2,1997-08-21,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.023316102628405666,1,0,completed,1997-08-22,19.75,-4922.279987326508,SELL,1997-08-21,1997-08-22,2215.02974969853,2022.8147199488315,2.1293997763154917,positive
3,1997-10-30,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.03788950791417989,0,4,completed,1997-10-31,27.170000076293945,3567.2312738974324,BUY,1997-10-31,1997-11-03,4601.724805271768,4403.279732498593,4.5434267149253476,positive
4,1997-10-31,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.04747880031491958,1,0,completed,1997-11-03,28.459999084472656,-3567.2312738974324,SELL,1997-10-31,1997-11-03,4601.724805271768,4403.279732498593,4.5434267149253476,positive
5,1997-11-14,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.0007424074746541498,0,4,completed,1997-11-17,26.920000076293945,3755.749979319616,BUY,1997-11-17,1997-11-18,7436.383239806939,7226.7372771074815,7.149197065256422,positive
6,1997-11-17,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.07355124578844041,1,0,completed,1997-11-18,28.899999618530277,-3755.749979319616,SELL,1997-11-17,1997-11-18,7436.383239806939,7226.7372771074815,7.149197065256422,positive
7,1998-02-05,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.01756290517332182,0,4,completed,1998-02-06,29.815000534057617,3621.337857087844,BUY,1998-02-06,1998-02-09,184.6834785896583,-31.441585175085663,-0.02912333375329588,negative
8,1998-02-06,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.0017105043377707574,1,0,completed,1998-02-09,29.865999221801758,-3621.337857087844,SELL,1998-02-06,1998-02-09,184.6834785896583,-31.441585175085663,-0.02912333375329588,negative
9,1998-03-16,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.0034816486624472676,0,4,completed,1998-03-17,33.77399826049805,3195.9592052033545,BUY,1998-03-17,1998-03-18,642.3884829764173,425.8654532191193,0.39465632892130226,positive
10,1998-03-17,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.005951330134878807,1,0,completed,1998-03-18,33.974998474121094,-3195.9592052033545,SELL,1998-03-17,1998-03-18,642.3884829764173,425.8654532191193,0.39465632892130226,positive
11,1998-05-27,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.08210474570706916,0,4,completed,1998-05-28,36.66899871826172,2954.6727918633233,BUY,1998-05-28,1998-05-29,2493.749066161195,2274.565531459596,2.099853088346941,positive
12,1998-05-28,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.02301676619272408,1,0,completed,1998-05-29,37.51300048828125,-2954.6727918633233,SELL,1998-05-28,1998-05-29,2493.749066161195,2274.565531459596,2.099853088346941,positive
13,1998-07-22,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.0029240927992286725,0,4,completed,1998-07-23,43.64699935913086,2531.805890328358,BUY,1998-07-23,1998-07-24,22.783394223345173,-198.25084931608933,-0.1794603536098833,negative
14,1998-07-23,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.00020617387178356594,1,0,completed,1998-07-24,43.65599822998047,-2531.805890328358,SELL,1998-07-23,1998-07-24,22.783394223345173,-198.25084931608933,-0.1794603536098833,negative
15,1998-08-06,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.02215006644118389,0,4,completed,1998-08-07,38.893001556396484,2836.4329661157794,BUY,1998-08-07,1998-08-10,1491.9556899978884,1269.8289507763798,1.1512444162663065,positive
16,1998-08-07,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.013524211061533009,1,0,completed,1998-08-10,39.41899871826172,-2836.4329661157794,SELL,1998-08-07,1998-08-10,1491.9556899978884,1269.8289507763798,1.1512444162663065,positive
17,1998-08-26,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.07866106618039792,0,4,completed,1998-08-27,29.97299957275391,3720.806421068725,BUY,1998-08-27,1998-08-31,-12103.78425291158,-12314.727927196654,-11.044642779518849,negative
18,1998-08-28,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.026113608829471113,1,0,completed,1998-08-31,26.719999313354492,-3720.806421068725,SELL,1998-08-27,1998-08-31,-12103.78425291158,-12314.727927196654,-11.044642779518849,negative
19,1998-09-14,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.010177412822162446,0,4,completed,1998-09-15,23.049999237060547,4330.791368428965,BUY,1998-09-15,1998-09-21,-1156.3138941157536,-1354.8070556979499,-1.357433734818024,negative
20,1998-09-18,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.16931850853632513,1,0,completed,1998-09-21,22.783000946044922,-4330.791368428965,SELL,1998-09-15,1998-09-21,-1156.3138941157536,-1354.8070556979499,-1.357433734818024,negative
21,1998-10-05,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.09005678759502578,0,4,completed,1998-10-06,18.924999237060547,5206.746367644663,BUY,1998-10-06,1998-10-07,1640.1278865106274,1441.4124165536307,1.4630131320506672,positive
22,1998-10-06,exit,sell,Sell because there were 1 consecutive positive return days (threshold m=1).,0.016644678824649928,1,0,completed,1998-10-07,19.239999771118164,-5206.746367644663,SELL,1998-10-06,1998-10-07,1640.1278865106274,1441.4124165536307,1.4630131320506672,positive
23,1998-11-12,entry,buy,Buy because there were 4 consecutive negative return days (threshold n=4).,-0.01788797499984407,0,4,completed,1998-11-13,21.027999877929688,4751.141973128322,BUY,1998-11-13,1998-11-16,598.6412787339343,398.2286117932624,0.3986111692163523,positive
