entry_date,exit_date,bars_held,pnl,pnl_net,return_pct,entry_signal_id,exit_signal_id
1998-04-29,1998-08-13,75,-7825.928832891325,-8008.102904058434,-8.43129736062544,1,2
1999-04-13,2000-07-17,307,182673.80039678412,182316.34199190504,208.6459287503418,3,4
2001-05-14,2001-06-01,14,-19899.59683835116,-20400.88289577972,-7.829686265704275,5,6
2001-06-14,2001-06-21,5,-9875.580725209351,-10348.129121249069,-4.2912008070562635,7,8
2001-11-30,2002-03-15,68,-7318.670810393642,-7774.114671017802,-3.361385380449892,9,10
2002-04-02,2002-05-21,34,-16573.80916575717,-17005.227070151035,-7.59337388741658,11,12
2002-11-13,2002-12-30,31,-28064.31748754335,-28451.93495218214,-13.68967135767109,13,14
2003-03-13,2003-03-21,6,-16520.572687589665,-16865.67522061926,-9.330521431055736,15,16
2003-05-06,2003-05-15,7,-10659.596764555325,-10978.51549058878,-6.666521218176564,17,18
2003-06-23,2003-06-25,2,-387.90087228608155,-696.2321147796872,-0.4511683011344209,19,20
2003-08-28,2004-05-20,176,59516.14206950711,59149.22962508979,38.49323841344749,21,22
2004-07-22,2006-05-24,461,206267.6621594864,205641.61465869145,98.0317735222676,23,24
2006-12-21,2007-01-09,9,-12102.391798322979,-12900.78831301165,-3.1839983374615457,25,26
2007-02-01,2008-01-17,240,79983.20883967525,79117.2382221433,20.137659545145624,27,28
2009-05-12,2011-02-28,452,428541.64516138856,427179.8026441682,91.589454603358,29,30
2011-05-09,2011-05-23,9,-69690.4338328278,-71370.47790842767,-8.162462207155565,31,32
2012-02-24,2012-05-25,63,-78618.27423821334,-80159.56206107959,-9.89777540554308,33,34
2012-07-20,2013-06-12,224,154032.32352039783,152417.24185777467,20.864409181516443,35,36
2014-04-24,2015-03-09,218,94914.93055159047,93068.0276752353,10.629589668654498,37,38
2015-05-04,2015-06-03,21,-26437.891658587174,-28336.40132072664,-2.9452266499739808,39,40
2016-04-08,2016-05-24,31,-56810.091819015666,-58632.514871122374,-6.243279662577047,41,42
2016-05-30,2016-06-14,11,-17375.501387975408,-19117.527932267538,-2.1742881055093255,43,44
2016-10-13,2016-11-03,15,-1612.195701153076,-3335.6731358262928,-0.3868623243142039,45,46
2017-03-01,2018-04-13,283,225877.3439846257,223928.15169355765,25.9954952116507,47,48
2019-02-05,2019-03-29,38,-107627.06149358685,-109674.15815196405,-10.183507257589683,49,50
2019-08-02,2019-08-20,9,-57425.27703882934,-59296.049019097634,-6.155436395842492,51,52
2019-09-24,2019-10-16,16,-71635.79725339127,-73411.83900097423,-7.94904060047912,53,54
2019-10-31,2020-03-11,92,12762.0611228732,11061.905788945272,1.3125196644730612,55,56
2020-07-13,2020-08-10,17,-79445.01124648417,-81091.66559035076,-9.400136560305834,57,58
2020-08-26,2020-09-02,5,-2839.124383625361,-4383.749969879459,-0.5671960670859716,59,60
2020-10-09,2021-06-30,180,148850.09397567078,147156.0442917309,19.052383561733325,61,62
2021-12-22,2023-05-24,355,1273080.8629772756,1270043.3586023038,144.0885556866015,63,64
2023-06-15,2024-10-03,324,1433256.585532305,1427559.305080901,67.12451551211564,65,66
