signal_id,signal_date,signal_type,action,reason,daily_return,positive_run,negative_run,order_status,execution_date,execution_price,execution_size,execution_action,resulting_trade_entry_date,resulting_trade_exit_date,resulting_trade_pnl,resulting_trade_pnl_net,resulting_trade_return_pct,resulting_trade_feedback
1,1998-04-28,entry,buy,Buy because the long-term trend is up (Close=38.74 > SMA(200)=28.85) and there were 3 consecutive negative return days (threshold n=3).,-0.03663357920290289,0,3,completed,1998-04-29,38.736000061035156,2452.4989635045267,BUY,1998-04-29,1998-08-13,-7825.928832891325,-8008.102904058434,-8.43129736062544,negative
2,1998-08-12,exit,sell,Sell because price stayed below SMA(200) for 2 consecutive days (threshold m=2).,0.03554253106741623,1,0,completed,1998-08-13,35.54499816894531,-2452.4989635045267,SELL,1998-04-29,1998-08-13,-7825.928832891325,-8008.102904058434,-8.43129736062544,negative
3,1999-04-12,entry,buy,Buy because the long-term trend is up (Close=43.76 > SMA(200)=31.14) and there were 3 consecutive negative return days (threshold n=3).,-0.05022789649129,0,3,completed,1999-04-13,43.75600051879883,1997.2644027097094,BUY,1999-04-13,2000-07-17,182673.80039678412,182316.34199190504,208.6459287503418,positive
4,2000-07-14,exit,sell,Sell because price stayed below SMA(200) for 2 consecutive days (threshold m=2).,0.009534109132683044,1,0,completed,2000-07-17,135.21800231933594,-1997.2644027097094,SELL,1999-04-13,2000-07-17,182673.80039678412,182316.34199190504,208.6459287503418,positive
5,2001-05-11,entry,buy,Buy because the long-term trend is up (Close=117.79 > SMA(200)=111.41) and there were 3 consecutive negative return days (threshold n=3).,-0.029975372673808343,0,3,completed,2001-05-14,117.79299926757812,2212.2946928407237,BUY,2001-05-14,2001-06-01,-19899.59683835116,-20400.88289577972,-7.829686265704275,negative
6,2001-05-31,exit,sell,Sell because price stayed below SMA(200) for 2 consecutive days (threshold m=2).,0.01803103072032175,1,0,completed,2001-06-01,108.7979965209961,-2212.2946928407237,SELL,2001-05-14,2001-06-01,-19899.59683835116,-20400.88289577972,-7.829686265704275,negative
7,2001-06-13,entry,buy,Buy because the long-term trend is up (Close=112.84 > SMA(200)=109.40) and there were 3 consecutive negative return days (threshold n=3).,-0.012686553664260858,0,3,completed,2001-06-14,112.84400177001953,2137.5703147612844,BUY,2001-06-14,2001-06-21,-9875.580725209351,-10348.129121249069,-4.2912008070562635,negative
8,2001-06-20,exit,sell,Sell because price stayed below SMA(200) for 2 consecutive days (threshold m=2).,0.0025939262827354703,1,0,completed,2001-06-21,108.2239990234375,-2137.5703147612844,SELL,2001-06-14,2001-06-21,-9875.580725209351,-10348.129121249069,-4.2912008070562635,negative
9,2001-11-29,entry,buy,Buy because the long-term trend is up (Close=109.61 > SMA(200)=98.53) and there were 3 consecutive negative return days (threshold n=3).,-0.015122232919432599,0,3,completed,2001-11-30,109.61000061035156,2110.950318664858,BUY,2001-11-30,2002-03-15,-7318.670810393642,-7774.114671017802,-3.361385380449892,negative
10,2002-03-14,exit,sell,Sell because price stayed below SMA(200) for 2 consecutive days (threshold m=2).,0.001916134563100913,1,0,completed,2002-03-15,106.14299774169922,-2110.950318664858,SELL,2001-11-30,2002-03-15,-7318.670810393642,-7774.114671017802,-3.361385380449892,negative
